id1, id2, weight
74, 407, 0.10999999999999992
321, 280, 0.11499999999999995
193, 286, 0.19000000000000009
353, 381, 0.235
498, 335, 0.275
431, 461, 0.29000000000000004
156, 503, 0.29500000000000004
21, 481, 0.31499999999999995
489, 377, 0.3699999999999998
444, 450, 0.3750000000000001
36, 215, 0.37500000000000006
318, 378, 0.39500000000000013
134, 129, 0.42999999999999977
433, 469, 0.4400000000000001
406, 317, 0.47000000000000036
78, 299, 0.47499999999999976
81, 454, 0.4900000000000004
236, 229, 0.5099999999999998
311, 375, 0.5149999999999999
508, 443, 0.5150000000000001
239, 443, 0.525
409, 481, 0.665
91, 168, 0.55
475, 429, 0.565
13, 130, 0.5650000000000005
4, 211, 0.5700000000000002
507, 215, 0.41
273, 309, 0.5850000000000001
115, 233, 0.5900000000000004
159, 299, 0.9899999999999998
67, 69, 0.685
258, 383, 0.6899999999999996
417, 377, 0.4149999999999998
334, 51, 0.6950000000000005
120, 402, 0.7050000000000002
189, 230, 0.71
212, 253, 0.7150000000000004
197, 326, 0.7249999999999999
80, 114, 0.7500000000000001
202, 133, 0.755
222, 186, 0.7599999999999999
60, 59, 0.7699999999999999
341, 211, 0.695
260, 255, 0.7700000000000001
220, 182, 0.775
285, 326, 1.1749999999999998
48, 121, 0.8199999999999998
424, 121, 0.9099999999999995
174, 63, 0.82
213, 316, 0.8500000000000001
392, 406, 0.545
178, 274, 0.8699999999999998
313, 462, 0.8700000000000002
31, 270, 0.875
135, 31, 1.3900000000000001
254, 135, 1.2299999999999995
298, 259, 0.8799999999999998
99, 339, 0.88
359, 492, 0.885
395, 484, 0.8949999999999996
358, 304, 0.8950000000000002
89, 386, 0.9150000000000001
489, 89, 0.9050000000000004
64, 499, 0.9499999999999995
15, 408, 0.9699999999999999
295, 234, 0.9900000000000003
346, 488, 0.9950000000000001
356, 314, 1.0049999999999994
495, 451, 1.01
394, 476, 1.0150000000000001
6, 85, 1.0300000000000002
270, 64, 0.92
171, 35, 1.04
14, 345, 1.0400000000000005
240, 286, 1.0500000000000005
100, 39, 1.0599999999999996
251, 273, 0.77
432, 445, 1.07
142, 152, 1.0699999999999998
312, 249, 1.0749999999999993
57, 148, 1.0749999999999997
128, 219, 1.0799999999999998
475, 39, 0.97
217, 506, 1.1099999999999999
83, 466, 1.1150000000000002
472, 431, 0.9349999999999999
281, 321, 0.9000000000000002
391, 280, 0.9249999999999999
167, 453, 1.1549999999999996
501, 167, 1.7600000000000002
244, 213, 1.59
200, 320, 1.1949999999999998
493, 499, 1.14
500, 434, 1.2550000000000003
118, 444, 1.2949999999999995
195, 367, 1.2650000000000001
143, 138, 1.285
160, 138, 1.35
22, 143, 1.8900000000000001
420, 264, 1.2950000000000004
401, 481, 0.8399999999999999
150, 49, 1.3100000000000003
117, 186, 1.1749999999999998
95, 315, 1.3299999999999996
19, 62, 1.33
269, 428, 1.35
393, 443, 0.8549999999999999
414, 415, 1.3949999999999998
456, 414, 1.535
216, 286, 1.1400000000000003
312, 200, 1.9299999999999997
194, 342, 1.405
240, 342, 2.5949999999999998
491, 75, 1.4349999999999996
25, 278, 1.435
271, 282, 1.4499999999999997
235, 264, 1.3299999999999998
41, 129, 1.4749999999999994
349, 286, 0.7700000000000001
261, 13, 1.195
72, 174, 1.395
343, 260, 1.2800000000000005
189, 121, 1.895
319, 91, 1.7899999999999991
157, 440, 1.5300000000000002
340, 227, 1.5650000000000004
96, 144, 1.575
170, 144, 1.6700000000000004
388, 484, 1.0099999999999998
37, 179, 1.6199999999999997
151, 294, 1.6449999999999998
301, 161, 1.6549999999999996
98, 220, 1.8600000000000003
263, 182, 1.9100000000000001
18, 122, 1.6599999999999997
333, 284, 1.6749999999999994
313, 316, 1.415
153, 225, 1.6949999999999998
127, 185, 1.7100000000000004
175, 36, 0.8299999999999997
113, 95, 2.1949999999999994
457, 429, 0.9949999999999999
8, 52, 1.7799999999999998
288, 195, 1.31
351, 376, 1.7950000000000004
317, 301, 1.5600000000000003
479, 366, 1.8050000000000002
176, 298, 1.0899999999999996
126, 176, 2.5100000000000007
365, 407, 1.2799999999999998
261, 260, 1.2900000000000003
369, 13, 1.0700000000000005
257, 268, 1.8300000000000005
20, 171, 1.5850000000000006
292, 311, 1.9199999999999997
132, 469, 1.12
184, 408, 2.16
82, 470, 1.8650000000000002
495, 35, 1.7850000000000006
427, 171, 2.3900000000000006
430, 320, 1.2600000000000002
387, 422, 1.9
384, 128, 1.4449999999999994
346, 161, 2.055
111, 297, 1.9200000000000002
467, 133, 1.09
107, 56, 1.935
372, 156, 1.3650000000000004
471, 428, 1.415
43, 124, 2.0300000000000002
364, 383, 1.6200000000000006
155, 8, 3.445
463, 459, 2.045
330, 138, 2.0500000000000003
162, 358, 1.9850000000000003
145, 446, 2.0749999999999997
275, 300, 2.0949999999999998
146, 152, 2.6400000000000006
158, 273, 2.215
50, 421, 2.125
80, 471, 1.675
486, 274, 1.5150000000000001
390, 395, 1.8499999999999994
232, 373, 2.22
196, 236, 1.6299999999999997
26, 103, 2.2750000000000004
474, 366, 3.17
355, 366, 2.5300000000000002
207, 474, 3.2649999999999992
190, 101, 2.315
314, 85, 3.7199999999999998
277, 6, 1.1399999999999997
74, 356, 1.19
396, 401, 1.5949999999999993
283, 22, 2.35
247, 354, 2.395
33, 440, 1.6500000000000004
436, 33, 4.175000000000001
119, 204, 2.415
123, 119, 2.5549999999999997
431, 469, 0.5699999999999997
361, 378, 1.4299999999999997
46, 476, 1.3850000000000005
137, 492, 1.4499999999999995
54, 10, 2.45
221, 262, 2.454999999999999
47, 149, 2.455
360, 212, 1.5149999999999997
79, 423, 2.4699999999999998
75, 178, 2.4250000000000003
7, 134, 2.094999999999999
291, 358, 2.9900000000000007
316, 215, 2.0300000000000002
416, 4, 1.5350000000000004
136, 499, 2.2649999999999992
437, 446, 2.7199999999999998
471, 145, 2.1350000000000002
299, 446, 2.7849999999999997
77, 78, 1.6100000000000003
163, 78, 1.8899999999999997
9, 107, 2.919999999999999
238, 236, 2.295
94, 351, 1.8950000000000002
327, 339, 2.83
505, 425, 2.715
404, 344, 2.7150000000000003
177, 404, 3.3850000000000007
55, 163, 3.51
52, 55, 1.8800000000000001
329, 452, 2.75
385, 329, 2.855
248, 270, 1.5350000000000004
165, 372, 3.5549999999999997
17, 18, 3.0300000000000002
382, 179, 3.51
411, 432, 2.475
504, 445, 3.0799999999999996
201, 357, 2.825
38, 116, 2.845
447, 225, 1.96
324, 212, 2.415
214, 391, 1.6550000000000002
209, 435, 2.8699999999999997
342, 375, 1.6400000000000001
418, 458, 2.91
387, 458, 3.4299999999999997
490, 171, 2.11
90, 227, 2.6350000000000002
414, 423, 2.2499999999999996
14, 15, 1.0499999999999996
243, 408, 3.6949999999999985
32, 41, 3.115
472, 134, 2.135
415, 41, 2.3400000000000003
2, 3, 2.9700000000000006
147, 2, 3.3350000000000004
410, 74, 1.235
368, 345, 2.3149999999999995
337, 138, 1.9249999999999994
141, 493, 1.3150000000000002
354, 351, 2.965
465, 459, 4.559999999999999
174, 327, 1.7750000000000008
443, 317, 0.585
374, 333, 3.0649999999999995
237, 284, 3.2600000000000007
455, 150, 1.76
257, 275, 2.965
81, 300, 2.355
302, 275, 3.2900000000000005
92, 461, 1.7849999999999995
70, 217, 2.23
173, 235, 3.92
228, 264, 1.9150000000000007
353, 94, 2.6650000000000005
110, 47, 2.9050000000000002
117, 273, 1.4150000000000003
192, 322, 3.3400000000000003
148, 322, 2.6350000000000007
130, 184, 2.9100000000000006
308, 155, 2.540000000000001
352, 271, 2.3950000000000005
106, 109, 3.5350000000000006
224, 503, 1.575
256, 425, 3.4349999999999996
347, 261, 2.7
19, 481, 1.42
362, 59, 3.2150000000000003
181, 373, 2.5149999999999997
180, 209, 4.470000000000001
168, 176, 3.1350000000000007
188, 382, 5.635
289, 358, 4.41
201, 304, 2.855
24, 22, 2.7449999999999997
294, 196, 2.5749999999999997
498, 46, 4.75
111, 157, 2.695
449, 485, 4.1
397, 445, 3.3000000000000003
295, 275, 2.1899999999999995
386, 234, 4.3100000000000005
72, 295, 1.745
211, 422, 1.7950000000000004
278, 162, 3.4150000000000005
222, 162, 1.2
191, 66, 4.265000000000001
246, 501, 2.71
325, 495, 2.6450000000000005
269, 427, 3.0749999999999997
412, 32, 4.21
245, 478, 4.465
178, 478, 3.83
464, 463, 2.4549999999999996
104, 465, 4.884999999999999
76, 506, 1.8700000000000003
500, 412, 3.8799999999999994
320, 383, 0.7800000000000001
177, 229, 3.1699999999999995
267, 196, 4.269999999999999
216, 181, 2.750000000000001
131, 187, 4.895000000000001
45, 93, 5.015
78, 131, 2.0100000000000002
202, 47, 2.715
247, 312, 1.9250000000000003
339, 353, 1.435
504, 89, 2.4749999999999996
35, 432, 2.24
378, 243, 1.595
185, 478, 3.7100000000000004
43, 301, 3.245
318, 317, 1.87
27, 191, 7.395
303, 82, 3.3149999999999995
426, 163, 6.505
218, 288, 4.11
42, 134, 2.935
118, 137, 2.1599999999999997
348, 148, 5.445
480, 33, 2.985000000000001
101, 160, 3.665
315, 356, 3.5349999999999997
331, 54, 4.475
147, 54, 2.9750000000000005
208, 263, 2.399999999999999
180, 208, 4.8549999999999995
360, 435, 4.85
125, 494, 5.7299999999999995
442, 494, 7.79
164, 423, 4.415
227, 461, 2.6
23, 251, 1.7599999999999996
426, 192, 4.195
265, 394, 2.8149999999999995
168, 265, 3.8949999999999996
338, 194, 2.015
86, 26, 6.069999999999999
225, 86, 8.29
223, 209, 5.964999999999999
84, 204, 3.994999999999999
262, 84, 3.6350000000000007
96, 100, 2.5700000000000003
67, 66, 3.84
287, 391, 4.975000000000001
116, 406, 1.5900000000000007
473, 136, 2.7699999999999996
413, 401, 3.1250000000000004
53, 308, 4.909999999999999
58, 78, 2.7600000000000002
419, 433, 2.375
355, 501, 2.095
478, 355, 2.73
452, 86, 3.51
421, 107, 3.494999999999999
290, 235, 4.275
37, 236, 2.615
244, 196, 2.285
34, 263, 5.965000000000001
288, 375, 1.1700000000000004
241, 265, 6.234999999999999
197, 265, 3.094999999999999
48, 387, 2.4500000000000006
228, 424, 2.7900000000000005
305, 211, 3.619999999999999
226, 286, 4.015
242, 261, 1.815
484, 295, 2.76
152, 148, 2.9299999999999997
17, 171, 1.125
399, 74, 3.6700000000000004
123, 63, 1.9249999999999998
288, 247, 3.005000000000001
115, 47, 4.875
455, 109, 4.3950000000000005
485, 493, 1.3049999999999995
350, 249, 5.180000000000001
79, 38, 4.11
51, 52, 2.3
333, 70, 3.295
166, 440, 4.495
183, 185, 4.490000000000001
266, 467, 7.07
463, 451, 1.535
461, 463, 2.9599999999999995
264, 506, 2.8900000000000006
128, 167, 1.1399999999999997
497, 167, 5.125000000000001
297, 178, 3.365
330, 452, 2.6050000000000004
83, 14, 1.835
477, 260, 6.370000000000001
156, 134, 0.8650000000000002
365, 420, 2.5200000000000005
425, 493, 2.0450000000000004
96, 64, 2.5999999999999996
154, 368, 3.8499999999999996
450, 437, 1.5300000000000002
307, 387, 5.295
494, 132, 2.795
93, 78, 2.915000000000001
276, 361, 5.670000000000002
271, 201, 2.565
231, 173, 3.8500000000000005
1, 53, 8.125
139, 259, 6.294999999999999
263, 162, 2.8350000000000013
481, 445, 1.59
336, 148, 5.295000000000001
144, 114, 0.81
49, 295, 3.77
140, 345, 9.795000000000002
67, 23, 6.695
60, 369, 4.970000000000001
82, 127, 2.8700000000000006
439, 452, 5.830000000000001
162, 22, 3.0150000000000006
120, 173, 2.17
353, 289, 6.484999999999999
3, 155, 2.485
498, 99, 1.155
50, 51, 2.67
178, 410, 3.4849999999999994
321, 148, 3.4950000000000006
233, 454, 3.0000000000000004
36, 251, 0.7599999999999998
356, 324, 2.375
