id1, id2, weight
4, 34, 0.0
13, 130, 0.0
37, 218, 0.0
295, 126, 0.0
506, 264, 0.0
120, 402, 0.0
67, 69, 0.0
236, 37, 0.0
311, 188, 0.0
408, 243, 0.0
417, 489, 0.0
341, 387, 0.0
101, 330, 0.0
43, 285, 0.0
288, 382, 0.0
200, 238, 0.0
181, 216, 0.0
5, 436, 0.0
26, 103, 0.0
327, 176, 0.0
418, 458, 0.0
374, 337, 0.0
128, 272, 0.0
271, 352, 0.0
31, 325, 0.0
359, 492, 0.0
365, 173, 0.0
273, 251, 0.0
386, 126, 0.0
42, 156, 0.0
346, 488, 0.0
443, 317, 0.0
121, 189, 0.0
229, 236, 0.0
286, 236, 0.0
424, 121, 0.0
301, 161, 0.0
116, 241, 0.0
178, 297, 0.0
63, 281, 0.0
21, 441, 0.0
481, 441, 0.0
454, 359, 0.0
196, 244, 0.0
212, 324, 0.0
90, 254, 0.0
490, 39, 0.0
144, 170, 0.0
113, 435, 0.0
15, 205, 0.0
227, 469, 0.0
349, 286, 0.0
143, 309, 0.0
384, 365, 0.0
312, 350, 0.0
149, 221, 0.0
91, 414, 0.0
104, 445, 0.0
428, 429, 0.0
409, 481, 0.0
507, 316, 0.0
50, 51, 0.0
333, 284, 0.0
228, 424, 0.0
128, 365, 0.0
225, 36, 0.0
92, 134, 0.0
239, 317, 0.0
389, 257, 0.0
164, 425, 0.0
152, 148, 0.0
336, 426, 0.0
78, 206, 0.0
23, 153, 0.0
455, 137, 0.0
83, 466, 0.0
8, 334, 0.0
393, 443, 0.0
415, 414, 0.0
300, 137, 0.0
7, 465, 0.0
211, 4, 0.0
341, 211, 0.0
160, 101, 0.0
60, 59, 0.0049999999999999645
394, 339, 0.0049999999999999645
381, 339, 0.0049999999999999645
22, 24, 0.0049999999999999645
411, 432, 0.0049999999999999645
99, 498, 0.0049999999999999645
487, 498, 0.0049999999999999645
335, 498, 0.0049999999999999645
395, 388, 0.0049999999999999645
396, 388, 0.0049999999999999645
392, 406, 0.0049999999999999645
208, 182, 0.0049999999999999645
222, 186, 0.0049999999999999645
162, 222, 0.0049999999999999645
313, 462, 0.0049999999999999645
247, 462, 0.0049999999999999645
354, 247, 0.0049999999999999645
316, 313, 0.0049999999999999645
201, 357, 0.0049999999999999645
157, 111, 0.0049999999999999645
5, 157, 0.0049999999999999645
33, 436, 0.0049999999999999645
117, 175, 0.0049999999999999645
340, 499, 0.0049999999999999645
115, 233, 0.0049999999999999645
27, 28, 0.0049999999999999645
125, 129, 0.0049999999999999645
156, 129, 0.0049999999999999645
503, 156, 0.0049999999999999645
500, 442, 0.0049999999999999645
434, 500, 0.0049999999999999645
484, 401, 0.0049999999999999645
47, 174, 0.0049999999999999645
439, 452, 0.0049999999999999645
52, 55, 0.0049999999999999645
155, 54, 0.0049999999999999645
96, 270, 0.0049999999999999645
423, 319, 0.0049999999999999645
362, 255, 0.0049999999999999645
292, 188, 0.0049999999999999645
326, 285, 0.0049999999999999645
93, 78, 0.0049999999999999645
383, 244, 0.0049999999999999645
191, 103, 0.0049999999999999645
133, 221, 0.0049999999999999645
463, 7, 0.0049999999999999645
410, 178, 0.0049999999999999645
14, 15, 0.0049999999999999645
449, 415, 0.0049999999999999645
79, 91, 0.0049999999999999645
138, 101, 0.0049999999999999645
441, 396, 0.0049999999999999645
62, 441, 0.0049999999999999645
445, 441, 0.0049999999999999645
489, 104, 0.0049999999999999645
74, 365, 0.0049999999999999645
167, 384, 0.0049999999999999645
200, 312, 0.0049999999999999645
31, 90, 0.0049999999999999645
428, 455, 0.0049999999999999645
242, 184, 0.020000000000000035
141, 493, 0.020000000000000035
151, 267, 0.020000000000000035
294, 151, 0.020000000000000035
195, 391, 0.020000000000000035
150, 427, 0.020000000000000035
490, 427, 0.020000000000000035
35, 490, 0.020000000000000035
495, 35, 0.020000000000000035
451, 495, 0.020000000000000035
64, 136, 0.020000000000000035
109, 268, 0.020000000000000035
95, 315, 0.020000000000000035
194, 177, 0.020000000000000035
193, 177, 0.020000000000000035
355, 246, 0.020000000000000035
320, 430, 0.020000000000000035
364, 430, 0.020000000000000035
342, 375, 0.020000000000000035
18, 122, 0.020000000000000035
321, 280, 0.020000000000000035
98, 356, 0.020000000000000035
70, 217, 0.020000000000000035
274, 314, 0.020000000000000035
399, 75, 0.020000000000000035
6, 289, 0.020000000000000035
358, 289, 0.020000000000000035
316, 289, 0.020000000000000035
10, 163, 0.020000000000000035
108, 366, 0.020000000000000035
329, 237, 0.020000000000000035
284, 237, 0.020000000000000035
118, 437, 0.020000000000000035
53, 308, 0.020000000000000035
293, 323, 0.020000000000000035
309, 293, 0.020000000000000035
158, 143, 0.020000000000000035
311, 375, 0.020000000000000035
220, 315, 0.04499999999999994
214, 280, 0.04499999999999994
180, 113, 0.020000000000000035
287, 288, 0.020000000000000035
