id1, id2, weight
4, 211, 0.0
13, 130, 0.0
242, 184, 0.0
60, 59, 0.0
394, 46, 0.0
481, 398, 0.0
22, 24, 0.0
103, 190, 0.0
471, 428, 0.0
475, 429, 0.0
498, 335, 0.0
295, 234, 0.0
322, 146, 0.0
340, 227, 0.0
407, 410, 0.0
353, 381, 0.0
392, 406, 0.0
437, 444, 0.0
446, 437, 0.0
388, 484, 0.0
494, 132, 0.0
167, 453, 0.0
451, 459, 0.0
141, 493, 0.0
501, 167, 0.0
195, 367, 0.0
312, 249, 0.0
258, 383, 0.0
38, 79, 0.0
222, 186, 0.0
254, 461, 0.0
72, 295, 0.0
77, 78, 0.0
286, 240, 0.0
356, 314, 0.0
44, 359, 0.0
292, 311, 0.0
92, 472, 0.0
417, 377, 0.0
327, 72, 0.0
313, 316, 0.0
215, 316, 0.0
216, 240, 0.0
280, 391, 0.0
64, 136, 0.0
489, 417, 0.0
353, 327, 0.0
14, 345, 0.0
462, 313, 0.0
499, 473, 0.0
433, 419, 0.0
431, 419, 0.0
201, 357, 0.0
36, 175, 0.0
236, 196, 0.0
265, 168, 0.0
283, 22, 0.0
213, 462, 0.0
318, 378, 0.0
375, 311, 0.0
257, 268, 0.0
89, 386, 0.0
6, 310, 0.0
315, 356, 0.0
220, 182, 0.0
95, 315, 0.0
37, 179, 0.0
113, 95, 0.0
202, 47, 0.0
469, 494, 0.0
288, 375, 0.0
91, 319, 0.0
247, 354, 0.0
164, 423, 0.0
456, 423, 0.0
329, 385, 0.0
98, 291, 0.0
342, 375, 0.0
506, 424, 0.0
100, 39, 0.0
355, 501, 0.0
271, 352, 0.0
74, 407, 0.0
233, 115, 0.0
161, 346, 0.0
81, 492, 0.0
432, 445, 0.0
321, 281, 0.0
21, 481, 0.0
230, 74, 0.0
365, 74, 0.0
234, 386, 0.0
43, 265, 0.0
209, 223, 0.0
313, 310, 0.0
85, 6, 0.0
500, 494, 0.0
143, 138, 0.0
330, 138, 0.0
396, 401, 0.0
82, 303, 0.0
320, 430, 0.0
364, 430, 0.0
190, 330, 0.0
261, 242, 0.0
159, 77, 0.0
443, 317, 0.0
229, 236, 0.0
151, 196, 0.0
18, 122, 0.0
96, 100, 0.0
475, 39, 0.0
106, 109, 0.0
263, 291, 0.0
390, 122, 0.0
388, 122, 0.0
204, 63, 0.0
239, 136, 0.0
134, 433, 0.0
200, 247, 0.0
116, 38, 0.0
444, 492, 0.0
35, 495, 0.0
451, 495, 0.0
452, 237, 0.0
450, 446, 0.0
176, 139, 0.0
356, 74, 0.0
117, 222, 0.0
195, 288, 0.0
240, 342, 0.0
503, 417, 0.0
189, 290, 0.0
70, 217, 0.0
258, 364, 0.0
249, 364, 0.0
91, 168, 0.0
301, 43, 0.0
318, 301, 0.0
36, 215, 0.0
244, 213, 0.0
277, 6, 0.0
507, 316, 0.0
314, 85, 0.0
32, 412, 0.0
232, 373, 0.0
80, 114, 0.0
216, 373, 0.0
358, 271, 0.0
52, 51, 0.0
224, 89, 0.0
207, 453, 0.0
409, 481, 0.0
280, 321, 0.0
434, 340, 0.0
488, 346, 0.0
121, 424, 0.0
220, 291, 0.0
476, 394, 0.0
90, 227, 0.0
273, 309, 0.0
193, 286, 0.0
298, 259, 0.0
144, 170, 0.0
212, 253, 0.0
41, 415, 0.0
171, 35, 0.0
135, 451, 0.0
447, 225, 0.0
178, 274, 0.0
486, 274, 0.0
15, 477, 0.0
260, 477, 0.0
261, 260, 0.0
471, 80, 0.0
360, 435, 0.0
294, 151, 0.0
498, 46, 0.0
107, 56, 0.0
490, 427, 0.0
