ID#,POL IDEN,DENSITY,,,
263,4,23.2,,,
264,4,187.4,,,
265,5,13.7,,,
266,3,"31,851.2",,,
267,2,"3,926.9",,,
268,6,"3,237.1",,,
269,7,763.8,,,
270,6,"14,374.2",,,
271,6,"3,208.5",,,
273,4,"8,170.3",,,
274,4,"8,277.2",,,
275,7,"3,869.5",,,
276,2,"3,231.7",,,
277,2,"3,770.5",,,
278,3,"3,338.8",,,
280,2,"3,959.2",,,
281,2,36.2,,,
282,7,"6,686.6",,,
283,6,"1,650.2",,,
284,3,"1,285.4",,,
285,3,"1,829.0",,,
286,6,"4,624.7",,,
287,3,"4,172.8",,,
288,6,"1,456.7",,,
289,4,"7,365.8",,,
290,3,"2,787.4",,,
291,4,"3,362.0",,,
292,6,"1,150.1",,,
294,4,"8,362.9",,,
295,6,190.6,,,
297,6,"6,572.4",,,
298,4,"7,184.6",,,
299,6,"36,343.1",,,
300,7,"30,494.4",,,
301,5,"6,096.1",,,
302,6,"3,464.1",,,
303,2,"4,741.5",,,
304,5,"6,450.5",,,
305,1,"7,613.6",,,
307,6,23.2,,,
308,7,109.2,,,
309,4,"4,630.9",,,
310,2,"1,531.0",,,
311,6,"1,049.1",,,
312,6,569.6,,,
313,2,17.4,,,
314,2,"5,173.6",,,
315,2,"5,697.8",,,
316,2,200.9,,,
317,6,"9,652.8",,,
318,5,796.7,,,
319,5,"4,096.2",,,
320,6,"3,396.0",,,
321,2,"1,501.5",,,
322,5,"11,964.2",,,
324,4,"5,091.7",,,
325,7,"7,576.7",,,
326,2,"1,796.3",,,
327,6,16.5,,,
329,5,"7,452.8",,,
330,6,"10,413.0",,,
331,2,"13,750.3",,,
333,2,"6,625.4",,,
334,6,"23,561.1",,,
335,4,"6,128.7",,,
336,1,"7,950.6",,,
337,7,"8,134.0",,,
338,4,436.9,,,
339,5,372.3,,,
340,7,"26,164.9",,,
341,4,"7,142.1",,,
342,6,"2,601.9",,,
343,5,"4,374.0",,,
344,3,"12,256.1",,,
345,5,"7,672.3",,,
346,6,"2,460.5",,,
347,6,"13,284.2",,,
348,7,"5,151.5",,,
349,6,"8,689.1",,,
350,3,"4,926.1",,,
